0;0;0;0;land;false;unknown;0
1;252;16;236;land;false;marsh;2
2;216;246;168;land;false;plains;1
3;185;149;202;land;false;mountain;1
4;252;101;157;land;false;plains;2
5;251;228;47;land;false;plains;2
6;214;153;143;land;false;mountain;2
7;234;224;199;land;false;farms;1
8;198;243;180;land;false;bamboo;1
9;236;209;143;land;false;plains;1
10;89;242;171;land;false;plains;4
11;214;241;112;land;false;forest;1
12;199;193;245;land;false;plains;1
13;246;77;244;land;false;forest;1
14;249;181;153;land;false;plains;1
15;128;248;172;land;false;plains;2
16;178;140;233;land;false;marsh;4
17;143;232;212;land;false;plains;5
18;250;62;200;land;false;forest;1
19;245;100;235;land;false;plains;1
20;179;145;204;land;false;plains;1
21;239;253;159;land;false;marsh;1
22;240;172;252;land;false;farms;1
23;181;196;171;land;false;mountain;1
24;243;100;210;land;false;mountain;1
25;155;180;243;land;false;mountain;1
26;208;239;107;land;false;forest;2
27;246;178;95;land;false;plains;1
28;208;222;132;land;false;hills;1
29;246;187;204;land;false;plains;1
30;167;132;219;land;false;hills;1
31;85;241;204;land;false;mountain;2
32;206;63;239;land;false;marsh;1
33;194;245;210;land;false;forest;1
34;142;224;198;land;false;plains;2
35;245;226;201;land;false;plains;4
36;221;238;82;land;false;mountain;1
37;90;226;252;land;false;plains;1
38;153;251;192;land;false;plains;4
39;251;219;173;land;false;plains;1
40;165;201;254;land;false;plains;1
41;235;196;166;land;false;bamboo;1
42;253;159;214;land;false;hills;1
43;186;199;239;land;false;urban;1
44;118;246;216;land;false;plains;5
45;248;96;197;land;false;bamboo;1
46;192;133;227;land;false;forest;1
47;138;144;247;land;false;plains;2
48;235;102;172;land;false;farms;1
49;204;178;226;land;false;bamboo;1
50;249;210;60;land;false;bamboo;1
51;205;222;174;land;false;hills;4
52;247;197;234;land;false;forest;1
53;161;239;193;land;false;farms;5
54;176;178;212;land;false;plains;5
55;190;99;227;land;false;mountain;1
56;192;195;137;land;false;plains;4
57;217;107;188;land;false;plains;1
58;88;216;249;land;false;mountain;5
59;185;138;181;land;false;mountain;1
60;132;235;169;land;false;plains;1
61;231;132;205;land;false;farms;1
62;147;180;233;land;false;plains;4
63;196;160;215;land;false;plains;4
64;156;226;123;land;false;urban;1
65;196;213;244;land;false;plains;2
66;119;223;210;land;false;plains;1
67;217;241;93;land;false;plains;4
68;240;42;236;land;false;hills;2
69;238;211;91;land;false;forest;3
70;94;213;210;land;false;forest;1
71;227;157;120;land;false;forest;1
72;242;197;164;land;false;mountain;1
73;165;234;229;land;false;mountain;1
74;134;239;163;land;false;farms;1
75;127;227;184;land;false;mountain;1
76;78;246;198;land;false;hills;1
77;210;166;183;land;false;hills;1
78;231;247;237;land;false;forest;1
79;220;203;200;land;false;mountain;1
80;157;243;193;land;false;plains;1
81;89;252;249;land;false;plains;4
82;248;230;82;land;false;mountain;1
83;118;194;241;land;false;bamboo;1
84;232;232;136;land;false;mountain;1
85;240;250;240;land;false;plains;5
86;234;247;78;land;false;plains;1
87;190;201;140;land;false;plains;1
88;123;217;249;land;false;plains;2
89;155;148;242;land;false;hills;4
90;250;226;123;land;false;forest;2
91;248;233;226;land;false;forest;1
92;218;209;152;land;false;hills;5
93;162;250;159;land;false;forest;2
94;228;161;195;land;false;mountain;1
95;188;245;162;land;false;mountain;1
96;231;120;248;land;false;hills;1
97;247;226;62;land;false;hills;1
98;242;233;33;land;false;hills;4
99;192;100;236;land;false;plains;1
100;167;216;246;land;false;plains;1
101;129;243;222;land;false;mountain;2
102;201;219;140;land;false;plains;5
103;211;207;204;land;false;hills;4
