1;934.00;10.00;1143.00;big
1;778.00;10.00;1009.00;big
2;303.00;10.00;1093.00;big
2;262.00;10.00;1008.00;big
3;200.00;10.00;905.00;big
3;376.00;10.00;855.00;big
4;479.00;10.00;986.00;big
4;631.00;10.00;1006.00;big
5;2753.00;10.00;725.00;big
5;43.00;10.00;685.00;big
6;17.00;10.00;570.00;big
6;2777.00;10.00;554.00;big
7;546.00;10.00;525.00;big
7;510.00;10.00;623.00;big
8;215.00;10.00;381.00;big
8;327.00;10.00;370.00;big
9;429.00;10.00;323.00;big
9;698.00;10.00;308.00;big
10;2105.00;10.00;462.00;big
10;2153.00;10.00;642.00;big
11;2284.00;10.00;651.00;big
11;2386.00;10.00;678.00;big
12;2635.00;10.00;544.00;big
12;2612.00;10.00;433.00;big
13;2448.00;10.00;388.00;big
13;2324.00;10.00;449.00;big
14;2521.00;10.00;649.00;big
14;2641.00;10.00;675.00;big
15;2429.00;10.00;568.00;big
15;2516.00;10.00;530.00;big
16;1854.00;10.00;1096.00;big
16;2016.00;10.00;1044.00;big
17;2010.00;10.00;834.00;big
17;2127.00;10.00;936.00;big
18;2307.00;10.00;957.00;big
18;2207.00;10.00;1064.00;big
19;2465.00;10.00;956.00;big
19;2584.00;10.00;975.00;big
20;2483.00;10.00;834.00;big
20;2411.00;10.00;869.00;big
21;2698.00;10.00;934.00;big
21;2624.00;10.00;829.00;big
22;2514.00;10.00;1136.00;big
22;2404.00;10.00;1137.00;big
23;2686.00;10.00;1079.00;big
23;2608.00;10.00;1119.00;big
24;831.00;10.00;790.00;big
24;876.00;10.00;832.00;big
25;1077.00;10.00;870.00;big
25;1086.00;10.00;811.00;big
26;1107.00;10.00;952.00;big
26;1037.00;10.00;946.00;big
27;1178.00;10.00;1132.00;big
27;1103.00;10.00;1067.00;big
28;1347.00;10.00;1170.00;big
28;1288.00;10.00;1125.00;big
29;1470.00;10.00;1145.00;big
29;1423.00;10.00;1045.00;big
30;1433.00;10.00;915.00;big
30;1544.00;10.00;885.00;big
31;1332.00;10.00;776.00;big
31;1458.00;10.00;792.00;big
32;1357.00;10.00;881.00;big
32;1293.00;10.00;875.00;big
33;1224.00;10.00;804.00;big
33;1174.00;10.00;751.00;big
34;1188.00;10.00;989.00;big
34;1284.00;10.00;983.00;big
35;1174.00;10.00;914.00;big
35;1194.00;10.00;863.00;big
36;872.00;10.00;725.00;big
36;795.00;10.00;730.00;big
37;858.00;10.00;621.00;big
37;768.00;10.00;612.00;big
38;968.00;10.00;674.00;big
38;1050.00;10.00;730.00;big
39;1147.00;10.00;666.00;big
39;1201.00;10.00;595.00;big
40;1444.00;10.00;594.00;big
40;1310.00;10.00;601.00;big
41;692.00;10.00;639.00;big
41;715.00;10.00;543.00;big
42;853.00;10.00;392.00;big
42;769.00;10.00;438.00;big
43;897.00;10.00;475.00;big
43;825.00;10.00;522.00;big
44;1078.00;10.00;326.00;big
44;985.00;10.00;404.00;big
45;1044.00;10.00;605.00;big
45;998.00;10.00;530.00;big
46;1132.00;10.00;474.00;big
46;1246.00;10.00;514.00;big
47;1331.00;10.00;407.00;big
47;1343.00;10.00;494.00;big
48;1361.00;10.00;308.00;big
48;1212.00;10.00;291.00;big
49;1434.00;10.00;212.00;big
49;1301.00;10.00;167.00;big
50;1427.00;10.00;430.00;big
50;1477.00;10.00;343.00;big
51;1585.00;10.00;313.00;big
51;1579.00;10.00;377.00;big
52;1630.00;10.00;223.00;big
52;1531.00;10.00;193.00;big
53;1813.00;10.00;170.00;big
53;1725.00;10.00;203.00;big
54;1770.00;10.00;306.00;big
54;1876.00;10.00;292.00;big
55;1640.00;10.00;423.00;big
55;1695.00;10.00;357.00;big
56;1472.00;10.00;500.00;big
56;1592.00;10.00;480.00;big
57;1681.00;10.00;491.00;big
57;1745.00;10.00;472.00;big
58;1556.00;10.00;566.00;big
58;1635.00;10.00;574.00;big
59;1854.00;10.00;605.00;big
59;1763.00;9.50;591.00;big
60;1988.00;10.00;518.00;big
60;1931.00;10.00;479.00;big
61;1823.00;10.00;402.00;big
61;1845.00;10.00;495.00;big
62;2034.00;10.00;678.00;big
62;2029.00;10.00;569.00;big
63;1870.00;10.00;696.00;big
63;1945.00;10.00;606.00;big
64;1654.00;10.00;667.00;big
64;1741.00;10.00;693.00;big
65;1673.00;10.00;820.00;big
65;1590.00;10.00;776.00;big
66;1786.00;10.00;768.00;big
66;1789.00;10.00;867.00;big
67;1887.00;10.00;781.00;big
67;2006.00;10.00;748.00;big
68;1267.00;9.50;688.00;big
68;1482.00;9.50;643.00;big
69;1703.00;10.00;955.00;big
69;1620.00;10.00;961.00;big
70;536.00;9.50;633.00;big
70;2224.00;9.50;570.00;big
71;1004.00;10.00;1035.00;big
71;944.00;10.00;995.00;big
72;954.00;10.00;804.00;big
72;988.00;10.00;859.00;big
73;955.00;10.00;923.00;big
73;894.00;10.00;893.00;big
74;1613.00;10.00;101.00;big
74;1519.00;10.00;103.00;big
75;1814.00;10.00;95.00;big
75;1720.00;10.00;65.00;big
76;1601.00;10.00;1109.00;big
76;1691.00;10.00;1100.00;big
77;349.00;10.00;471.00;big
77;401.00;10.00;569.00;big
78;260.00;10.00;626.00;big
78;328.00;10.00;608.00;big
79;151.00;10.00;559.00;big
79;243.00;10.00;498.00;big
80;52.00;10.00;485.00;big
80;106.00;10.00;454.00;big
81;104.00;10.00;782.00;big
81;188.00;10.00;792.00;big
82;216.00;10.00;701.00;big
82;140.00;10.00;654.00;big
83;2785.00;10.00;401.00;big
83;79.00;10.00;382.00;big
